"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.248016840E-1,-3.240000010E-1,9.670050621E0,2.074050188E0
1.260616840E-1,-2.419500053E-1,9.604950905E0,2.023950100E0
1.273216840E-1,-3.000000119E-1,9.672000885E0,2.056950092E0
1.285816790E-1,-3.120000064E-1,9.646050453E0,2.083950043E0
1.298417540E-1,-2.419500053E-1,9.628950119E0,2.071950197E0
1.311017560E-1,-2.449500114E-1,9.670050621E0,2.023950100E0
1.323617560E-1,-2.639999986E-1,9.624000549E0,2.064000130E0
1.336217560E-1,-2.620500028E-1,9.610050201E0,2.023950100E0
1.348817560E-1,-3.120000064E-1,9.660000801E0,2.035950184E0
1.361417560E-1,-3.139500022E-1,9.663000107E0,2.044950008E0
1.374019850E-1,-2.740500271E-1,9.643050194E0,1.999950051E0
1.386620210E-1,-2.860500216E-1,9.651000023E0,2.038050175E0
1.399220210E-1,-3.360000253E-1,9.639000893E0,2.056950092E0
1.411820210E-1,-2.760000229E-1,9.624000549E0,2.055000067E0
1.424420210E-1,-2.950500250E-1,9.684000015E0,2.052000046E0
1.437020210E-1,-2.500500083E-1,9.673950195E0,2.056950092E0
1.449620960E-1,-2.740500271E-1,9.636000633E0,2.031000137E0
1.462220980E-1,-2.929500043E-1,9.651000023E0,2.064000130E0
1.474820980E-1,-2.760000229E-1,9.610050201E0,2.016000032E0
1.487421120E-1,-2.779500186E-1,9.667050362E0,2.067000151E0
1.500021120E-1,-2.620500028E-1,9.612000465E0,2.056950092E0
1.512623410E-1,-2.620500028E-1,9.622050285E0,2.019000053E0
1.525223430E-1,-2.569500208E-1,9.631050110E0,2.080950022E0
1.537823430E-1,-3.090000153E-1,9.622050285E0,2.062050104E0
1.550423430E-1,-3.169500232E-1,9.706050873E0,2.080950022E0
1.563023430E-1,-2.880000174E-1,9.628950119E0,2.031000137E0
1.575623430E-1,-3.259500265E-1,9.658050537E0,2.031000137E0
1.588224370E-1,-2.659500241E-1,9.636000633E0,2.028000116E0
1.600824390E-1,-2.500500083E-1,9.619050026E0,2.026050091E0
1.613424390E-1,-2.830500007E-1,9.612000465E0,2.044950008E0
1.626024390E-1,-2.590500116E-1,9.636000633E0,2.020950079E0
1.638624390E-1,-2.899500132E-1,9.646050453E0,2.044950008E0
1.651226670E-1,-2.449500114E-1,9.634050369E0,2.076000214E0
1.663826690E-1,-2.689500153E-1,9.685950279E0,2.071950197E0
1.676426690E-1,-2.880000174E-1,9.624000549E0,2.047950029E0
