"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.760134825E0,-2.647500038E1,-9.358125305E1,-5.805000305E1
1.780136964E0,-2.630625153E1,-9.613125610E1,-5.964375305E1
1.800134617E0,-2.643750191E1,-9.513750458E1,-6.046875381E1
1.820139067E0,-2.628750038E1,-9.562500000E1,-5.919375229E1
1.840137270E0,-2.641875076E1,-9.461250305E1,-5.988750076E1
1.860135992E0,-2.643750191E1,-9.491250610E1,-5.838750076E1
1.880130989E0,-2.625000191E1,-9.511875153E1,-5.908125305E1
1.900129773E0,-2.675625038E1,-9.523125458E1,-5.816250229E1
1.920145139E0,-2.628750038E1,-9.553125000E1,-5.896875381E1
1.940146062E0,-2.641875076E1,-9.440625000E1,-5.919375229E1
1.960142702E0,-2.671875191E1,-9.472500610E1,-5.941875076E1
1.980135448E0,-2.653125191E1,-9.481875610E1,-5.896875381E1
2.000135371E0,-2.632500076E1,-9.461250305E1,-5.919375229E1
2.020132059E0,-2.617500114E1,-9.541875458E1,-5.930625153E1
2.040138725E0,-2.625000191E1,-9.521250153E1,-6.022500229E1
2.060137026E0,-2.632500076E1,-9.470625305E1,-5.953125381E1
2.080134326E0,-2.615625191E1,-9.532500458E1,-5.930625153E1
2.100138747E0,-2.621250153E1,-9.461250305E1,-5.988750076E1
2.120138115E0,-2.626875114E1,-9.553125000E1,-5.930625153E1
2.140133446E0,-2.621250153E1,-9.613125610E1,-5.872500229E1
2.160135347E0,-2.630625153E1,-9.451875305E1,-6.046875381E1
2.180132910E0,-2.636250114E1,-9.348750305E1,-5.851875305E1
2.200144661E0,-2.619375038E1,-9.583125305E1,-5.953125381E1
2.220137694E0,-2.617500114E1,-9.562500000E1,-5.988750076E1
2.240135627E0,-2.634375191E1,-9.491250610E1,-5.908125305E1
2.260140851E0,-2.623125076E1,-9.491250610E1,-5.919375229E1
2.280141559E0,-2.643750191E1,-9.502500153E1,-5.964375305E1
2.300137248E0,-2.645625114E1,-9.513750458E1,-5.919375229E1
2.320139634E0,-2.615625191E1,-9.511875153E1,-5.908125305E1
2.340137499E0,-2.634375191E1,-9.511875153E1,-5.908125305E1
2.360133562E0,-2.641875076E1,-9.472500610E1,-5.941875076E1
2.380137506E0,-2.651250076E1,-9.451875305E1,-5.964375305E1
2.400136840E0,-2.623125076E1,-9.491250610E1,-5.941875076E1
2.420132205E0,-2.621250153E1,-9.459375000E1,-5.919375229E1
2.440136150E0,-2.634375191E1,-9.491250610E1,-5.930625153E1
2.460132977E0,-2.623125076E1,-9.491250610E1,-5.919375229E1
2.480137713E0,-2.625000191E1,-9.307500458E1,-5.816250229E1
2.500137835E0,-2.617500114E1,-9.358125305E1,-5.930625153E1
2.520133530E0,-2.647500038E1,-9.399375153E1,-5.896875381E1
2.540137102E0,-2.619375038E1,-9.594375610E1,-6.011250305E1
2.560137843E0,-2.632500076E1,-9.461250305E1,-5.872500229E1
2.580134487E0,-2.636250114E1,-9.391875458E1,-6.069375229E1
2.600139381E0,-2.666250038E1,-9.401250458E1,-5.988750076E1
2.620138420E0,-2.643750191E1,-9.665625763E1,-5.998125076E1
2.640132249E0,-2.623125076E1,-9.502500153E1,-5.964375305E1
2.660134285E0,-2.638125038E1,-9.615000153E1,-6.045000076E1
2.680132612E0,-2.641875076E1,-9.451875305E1,-5.964375305E1
2.700138285E0,-2.632500076E1,-9.481875610E1,-6.000000381E1
2.720140547E0,-2.656875038E1,-9.543750000E1,-5.930625153E1
2.740137999E0,-2.625000191E1,-9.500625610E1,-5.896875381E1
2.760142686E0,-2.630625153E1,-9.592500305E1,-5.861250305E1
2.780140761E0,-2.628750038E1,-9.553125000E1,-5.885625076E1
2.800139999E0,-2.625000191E1,-9.500625610E1,-5.885625076E1
2.820130364E0,-2.632500076E1,-9.451875305E1,-5.885625076E1
2.840129926E0,-2.619375038E1,-9.583125305E1,-5.977500153E1
2.860138029E0,-2.626875114E1,-9.532500458E1,-5.919375229E1
2.880141529E0,-2.626875114E1,-9.543750000E1,-5.941875076E1
2.900139645E0,-2.673750114E1,-9.341250610E1,-6.069375229E1
